Freq(GHz),S11 Log Mag(dB)
2.575,-1.2120841
2.576,-1.2062756
2.577,-1.1844268
2.578,-1.2054808
2.579,-1.1851345
2.58,-1.204643
2.581,-1.2193334
2.582,-1.2005111
2.583,-1.2086655
2.584,-1.2168094
2.585,-1.2293568
2.586,-1.2206309
2.587,-1.2153821
2.588,-1.2366686
2.589,-1.2259967
2.59,-1.2418329
2.591,-1.2324467
2.592,-1.232422
2.593,-1.2431318
2.594,-1.2292079
2.595,-1.2344273
2.596,-1.2304136
2.597,-1.2435849
2.598,-1.2513282
2.599,-1.2486835
2.6,-1.2587968
2.601,-1.2485131
2.602,-1.2403823
2.603,-1.2586521
2.604,-1.2630757
2.605,-1.2455591
2.606,-1.2419772
2.607,-1.2528609
2.608,-1.2428052
2.609,-1.2690659
2.61,-1.2442226
2.611,-1.2526996
2.612,-1.2439296
2.613,-1.2477995
2.614,-1.2348371
2.615,-1.2517433
2.616,-1.2576897
2.617,-1.2494026
2.618,-1.2443634
2.619,-1.2556511
2.62,-1.2559834
2.621,-1.2391065
2.622,-1.2212795
2.623,-1.2522312
2.624,-1.243825
2.625,-1.2348038
2.626,-1.2289537
2.627,-1.2397685
2.628,-1.2512057
2.629,-1.2378025
2.63,-1.220948
2.631,-1.2287811
2.632,-1.2395912
2.633,-1.2273026
2.634,-1.2350273
2.635,-1.2366112
2.636,-1.2189851
2.637,-1.2169377
2.638,-1.2161745
2.639,-1.2113307
2.64,-1.2242471
2.641,-1.2058634
2.642,-1.2032096
2.643,-1.1929457
2.644,-1.2103201
2.645,-1.205416
2.646,-1.2097204
2.647,-1.2082573
2.648,-1.1807903
2.649,-1.2008495
2.65,-1.1872255
2.651,-1.1849817
2.652,-1.1995183
2.653,-1.1795019
2.654,-1.1727262
2.655,-1.175705
2.656,-1.1834558
2.657,-1.1736401
2.658,-1.1640158
2.659,-1.1705871
2.66,-1.1706427
2.661,-1.1573684
2.662,-1.1731194
2.663,-1.1618068
2.664,-1.1688923
2.665,-1.1607041
2.666,-1.1695765
2.667,-1.1754807
2.668,-1.1596236
2.669,-1.1718392
2.67,-1.1765871
2.671,-1.1637495
2.672,-1.1650577
2.673,-1.1627715
2.674,-1.1676741
2.675,-1.1754465
2.676,-1.1622218
2.677,-1.1653078
2.678,-1.1848909
2.679,-1.1779757
2.68,-1.1873512
