!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 10:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
2074000000,-2.7980309
2075000000,-2.7849369
2076000000,-2.7681801
2077000000,-2.7589412
2078000000,-2.7941706
2079000000,-2.7527275
2080000000,-2.7549646
2081000000,-2.7024326
2082000000,-2.7172673
2083000000,-2.7241247
2084000000,-2.6684167
2085000000,-2.6418037
2086000000,-2.6468673
2087000000,-2.6256537
2088000000,-2.6714408
2089000000,-2.6306591
2090000000,-2.5579064
2091000000,-2.5146358
2092000000,-2.5342774
2093000000,-2.4729059
2094000000,-2.5017045
2095000000,-2.4554317
2096000000,-2.4331684
2097000000,-2.400274
2098000000,-2.4041386
2099000000,-2.3422086
2100000000,-2.368072
2101000000,-2.3271871
2102000000,-2.3239074
2103000000,-2.2309992
2104000000,-2.2495661
2105000000,-2.2257316
2106000000,-2.1694136
2107000000,-2.1555572
2108000000,-2.0863125
2109000000,-2.1081624
2110000000,-2.0791521
2111000000,-2.0675831
2112000000,-2.0278778
2113000000,-2.0398238
2114000000,-1.9990752
2115000000,-1.9564108
2116000000,-1.9213386
2117000000,-1.873423
2118000000,-1.8830301
2119000000,-1.824036
2120000000,-1.8166598
2121000000,-1.8040776
2122000000,-1.7525253
2123000000,-1.7600943
2124000000,-1.7278262
2125000000,-1.6645373
2126000000,-1.6992056
2127000000,-1.6660496
2128000000,-1.6280477
2129000000,-1.6184781
2130000000,-1.5911369
2131000000,-1.5151938
2132000000,-1.5383239
2133000000,-1.5209945
2134000000,-1.4937764
2135000000,-1.4636942
2136000000,-1.4474882
2137000000,-1.4668602
2138000000,-1.4147447
2139000000,-1.4327774
2140000000,-1.4251771
2141000000,-1.3640617
2142000000,-1.3718103
2143000000,-1.3316407
2144000000,-1.3705342
2145000000,-1.3610835
2146000000,-1.3270798
2147000000,-1.3214785
2148000000,-1.3344454
2149000000,-1.3174495
2150000000,-1.299401
2151000000,-1.3307717
2152000000,-1.3101317
2153000000,-1.3107374
2154000000,-1.2626324
2155000000,-1.2522869
2156000000,-1.2994556
2157000000,-1.3012112
2158000000,-1.264255
2159000000,-1.2780484
2160000000,-1.2347001
2161000000,-1.2751937
2162000000,-1.2553178
2163000000,-1.2494797
2164000000,-1.2732497
2165000000,-1.2534089
2166000000,-1.2242956
2167000000,-1.228407
2168000000,-1.2249382
2169000000,-1.2024646
2170000000,-1.2115858
2171000000,-1.1882446
2172000000,-1.1452321
2173000000,-1.1598597
2174000000,-1.1534935
2175000000,-1.1473154
2176000000,-1.1162024
2177000000,-1.0531429
2178000000,-1.0651152
2179000000,-1.0337164
2180000000,-1.0143999
2181000000,-0.99506176
2182000000,-0.99081296
2183000000,-0.9474929
2184000000,-0.95364743
2185000000,-0.918001
2186000000,-0.88714939
2187000000,-0.87776327
2188000000,-0.79136312
2189000000,-0.75457484
2190000000,-0.72708845
2191000000,-0.6950081
2192000000,-0.64708716
2193000000,-0.63376707
2194000000,-0.57756257
2195000000,-0.55160695
2196000000,-0.56380403
2197000000,-0.52950078
2198000000,-0.45421216
2199000000,-0.45933965
2200000000,-0.41745329
2201000000,-0.34395546
2202000000,-0.36057612
2203000000,-0.30523014
2204000000,-0.32565454
2205000000,-0.32002494
2206000000,-0.28418761
2207000000,-0.24419063
2208000000,-0.21596645
2209000000,-0.22814947
2210000000,-0.18963972
2211000000,-0.2167763
2212000000,-0.16067173
2213000000,-0.15285036
2214000000,-0.07318905
2215000000,-0.089946739
2216000000,-0.10866934
2217000000,-0.061903417
2218000000,-0.05793985
2219000000,-0.051980581
2220000000,-0.04062666
2221000000,0.03715831
2222000000,0.019786
2223000000,0.067474306
