!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 17:07:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
2159000000,3.9832535
2160000000,3.9234874
2161000000,3.768681
2162000000,3.6745291
2163000000,3.5820465
2164000000,3.4713633
2165000000,3.3840113
2166000000,3.3015883
2167000000,3.2281325
2168000000,3.143332
2169000000,3.0810139
2170000000,2.9894617
2171000000,2.9540792
2172000000,2.9051299
2173000000,2.852659
2174000000,2.8008847
2175000000,2.7589836
2176000000,2.7243221
2177000000,2.7054131
2178000000,2.6650345
2179000000,2.6387002
2180000000,2.6122189
2181000000,2.6111512
2182000000,2.5851698
2183000000,2.5855372
2184000000,2.5703776
2185000000,2.5715284
2186000000,2.577101
2187000000,2.5922515
2188000000,2.6188936
2189000000,2.6373639
2190000000,2.6640847
2191000000,2.7082031
2192000000,2.7332408
2193000000,2.7850418
2194000000,2.8399208
2195000000,2.8958585
2196000000,2.9518843
2197000000,3.0081792
2198000000,3.0927937
2199000000,3.151459
2200000000,3.2250187
2201000000,3.3161464
2202000000,3.3807817
2203000000,3.4708903
2204000000,3.5202653
2205000000,3.5919416
2206000000,3.6960347
2207000000,3.7720425
2208000000,3.8537302
2209000000,3.921757
2210000000,4.014369
2211000000,4.075253
2212000000,4.1884561
2213000000,4.2955241
2214000000,4.4543767
2215000000,4.5302238
2216000000,4.6099715
2217000000,4.754209
2218000000,4.8540845
2219000000,4.9426646
2220000000,5.0702839
2221000000,5.2699127
2222000000,5.3279996
2223000000,5.5108299
2224000000,5.6743131
2225000000,5.7043815
2226000000,5.877614
2227000000,6.0816388
2228000000,6.211802
2229000000,6.3930893
2230000000,6.4837894
2231000000,6.7238812
2232000000,6.8037529
2233000000,6.9399309
2234000000,7.0830526
2235000000,7.1536021
2236000000,7.3544998
2237000000,7.4739947
2238000000,7.5768118
2239000000,7.9289069
2240000000,8.0105572
2241000000,8.1757622
2242000000,8.1629953
2243000000,8.4934673
2244000000,8.5904179
2245000000,8.803154
2246000000,8.9944382
2247000000,9.1702595
2248000000,9.3885355
2249000000,9.6218071
2250000000,9.5541506
2251000000,9.6405506
2252000000,9.9720192
2253000000,10.221642
2254000000,10.201526
2255000000,10.398595
2256000000,10.537345
2257000000,10.633882
2258000000,10.790056
2259000000,11.037084
2260000000,10.942068
2261000000,11.124013
2262000000,11.240423
2263000000,11.329495
2264000000,11.405581
2265000000,11.726293
2266000000,11.889643
2267000000,11.944206
2268000000,11.756476
2269000000,12.212187
2270000000,12.115191
2271000000,12.609369
2272000000,12.484682
2273000000,12.24511
2274000000,12.778772
2275000000,12.765719
2276000000,13.064167
2277000000,12.841887
2278000000,12.973632
2279000000,13.335161
