Freq(GHz),S11 Log Mag(dB)
2.07,-1.3824150862391813
2.071,-1.4149078418008467
2.072,-1.312212565483935
2.073,-1.3265517078361297
2.074,-1.309514142825294
2.075,-1.3202644057509074
2.076,-1.3372632697453328
2.077,-1.2776723266035446
2.078,-1.3593058533750921
2.079,-1.3333461193321827
2.08,-1.3134629698315368
2.081,-1.238935176861349
2.082,-1.2731568118281735
2.083,-1.2653915098333866
2.084,-1.2778344575728675
2.085,-1.2333818341158198
2.086,-1.2461847369641814
2.087,-1.2474169099164514
2.088,-1.292859052415027
2.089,-1.22133719369035
2.09,-1.2374419706018156
2.091,-1.1771789541460402
2.092,-1.221100113852925
2.093,-1.1903318707706845
2.094,-1.234214912988302
2.095,-1.2039883249404535
2.096,-1.200589041241379
2.097,-1.186746622753731
2.098,-1.2502204604087357
2.099,-1.1988239656631434
2.1,-1.2155058735690525
2.101,-1.2341155795487724
2.102,-1.2739025277961713
2.103,-1.195317847974369
2.104,-1.2515326268927196
2.105,-1.2853070083233
2.106,-1.2381643871816757
2.107,-1.257697718875837
2.108,-1.2229399192209467
2.109,-1.2972100543686702
2.11,-1.31173833672017
2.111,-1.296420958859163
2.112,-1.3395338354738722
2.113,-1.3890361296956222
2.114,-1.3687050321401375
2.115,-1.4115245042156022
2.116,-1.3836159000904669
2.117,-1.362475902916793
2.118,-1.4608527926722534
2.119,-1.4460025282563127
2.12,-1.5060082425498524
2.121,-1.5206925166005514
2.122,-1.5913859341147008
2.123,-1.631149838247026
2.124,-1.6502019524366685
2.125,-1.6139031784284144
2.126,-1.7609545005607596
2.127,-1.7703813501372958
2.128,-1.7928592698223356
2.129,-1.8784212031151912
2.13,-1.8678311962304652
2.131,-1.8757470900342643
2.132,-2.0104765723326863
2.133,-2.077505574090814
2.134,-2.129129933022657
2.135,-2.158554735517823
2.136,-2.163182865864463
2.137,-2.2736169526813463
2.138,-2.315061859884037
2.139,-2.4378067762698223
2.14,-2.4965405268942398
2.141,-2.532491020237924
2.142,-2.6228417023760113
2.143,-2.653224656027164
2.144,-2.790900385646677
2.145,-2.8654876413617396
2.146,-2.9316634669240145
2.147,-3.0368680357950613
2.148,-3.178635810792562
2.149,-3.2409627481732883
2.15,-3.3403558825078443
2.151,-3.482734445340545
2.152,-3.5902260484697788
2.153,-3.706112093992824
2.154,-3.80065965766319
2.155,-3.89398313507943
2.156,-4.050392517056067
2.157,-4.209378743704039
2.158,-4.263144028040594
2.159,-4.456456432818845
2.16,-4.527432088495103
2.161,-4.722507019542181
2.162,-4.849810802867393
2.163,-4.981908660612494
2.164,-5.150067296528437
2.165,-5.291267106053105
2.166,-5.43202402093401
2.167,-5.564151505077556
2.168,-5.725205722565039
2.169,-5.849861858524034
2.17,-6.043574346113902
2.171,-6.12206404011423
2.172,-6.234217834005326
2.173,-6.359301613000493
2.174,-6.487975741192711
2.175,-6.596172812791821
2.176,-6.688576793958517
2.177,-6.740140758234885
2.178,-6.853096609772992
2.179,-6.928935358564447
2.18,-7.007001051181762
2.181,-7.010187474874268
2.182,-7.088678794116948
2.183,-7.087555934765132
2.184,-7.134201146432417
2.185,-7.130637481516499
2.186,-7.113433911611894
2.187,-7.0671013621712495
2.188,-6.987150166604109
2.189,-6.932830824357939
2.19,-6.855801535522861
2.191,-6.732480139133207
2.192,-6.664541997315786
2.193,-6.5284457923756705
2.194,-6.3904627577870246
2.195,-6.255945092011554
2.196,-6.127003007135907
2.197,-6.002893309691516
2.198,-5.825868700343566
2.199,-5.709353578983815
2.2,-5.5698994031421485
2.201,-5.406603203181845
2.202,-5.296640732230038
2.203,-5.150810989074355
2.204,-5.074353298209741
2.205,-4.967422880782376
2.206,-4.820116394979886
2.207,-4.718088368306709
2.208,-4.613254413508358
2.209,-4.529521488777048
2.21,-4.4203975013725385
2.211,-4.351536915005891
2.212,-4.229154093288196
2.213,-4.119689137932565
2.214,-3.9675086603035057
2.215,-3.89880936756576
2.216,-3.829137633804294
2.217,-3.709343709076668
2.218,-3.630755093375251
2.219,-3.5638277235000926
2.22,-3.471686018268803
2.221,-3.336849962289352
2.222,-3.299584621539749
2.223,-3.187597975170479
2.224,-3.0937755329326566
2.225,-3.0771237116481984
2.226,-2.9846073844907965
2.227,-2.8825995865711773
2.228,-2.8211177291477685
2.229,-2.7397668102310586
2.23,-2.7008157969325755
2.231,-2.6028994799465726
2.232,-2.571891912981485
2.233,-2.5207066007952124
2.234,-2.46907666283391
2.235,-2.444402061412301
2.236,-2.376781651885254
2.237,-2.338316970228669
2.238,-2.306209322135395
2.239,-2.2026713738407206
2.24,-2.179982216800704
2.241,-2.135482235500564
2.242,-2.1388559520974435
2.243,-2.0548408468530277
2.244,-2.031436893424585
2.245,-1.9819129411399408
2.246,-1.9394087458403118
2.247,-1.9019236744993386
2.248,-1.8573636282462287
2.249,-1.8120021620301427
2.25,-1.8249278998985383
2.251,-1.808453669669468
2.252,-1.7479272922266724
2.253,-1.704963025921504
2.254,-1.708346673075526
2.255,-1.6757677512868738
2.256,-1.6535677315453077
2.257,-1.6384666389107458
2.258,-1.6146138376637413
2.259,-1.5782746494616835
2.26,-1.5920562113920016
2.261,-1.565873984309138
2.262,-1.5495705978592742
2.263,-1.537323981308735
2.264,-1.5270154897580248
2.265,-1.485045237275062
2.266,-1.4645449338999852
2.267,-1.4578231363282144
2.268,-1.481214074966036
2.269,-1.4256875891816296
2.27,-1.437153796739457
2.271,-1.3805874846451858
2.272,-1.3944346949516617
2.273,-1.4218372273802347
2.274,-1.3622099710919224
2.275,-1.363608561964413
2.276,-1.3323334856984457
2.277,-1.3554877389242301
2.278,-1.3416679093123869
2.279,-1.3051550519914792
2.28,-1.273499958849205
2.281,-1.3025636827283746
2.282,-1.2810042711525842
2.283,-1.2605371770616873
2.284,-1.2186629551004355
2.285,-1.2351822966996948
2.286,-1.2417727314328866
2.287,-1.2233710736492536
2.288,-1.249552129843724
2.289,-1.2056979310724505
2.29,-1.2009618073593373
2.291,-1.2140323790239962
2.292,-1.2332773728394617
2.293,-1.254904735847049
2.294,-1.2253350411263082
2.295,-1.223037631226191
2.296,-1.2587451945363914
2.297,-1.2377956963456809
2.298,-1.2558887963087133
2.299,-1.2607923216683283
2.3,-1.2497219597387186
2.301,-1.2693642788841912
2.302,-1.2841959654870267
2.303,-1.342481990055119
2.304,-1.3238697459488558
2.305,-1.3337708738317964
2.306,-1.3518265979631194
2.307,-1.3736163344225616
2.308,-1.457402648750743
2.309,-1.420394185096394
2.31,-1.499958347849049
2.311,-1.4773978906809473
2.312,-1.5284211992244987
2.313,-1.544355810795639
2.314,-1.5303674155962752
2.315,-1.5945951678973893
2.316,-1.622072513676574
2.317,-1.5864190397137246
2.318,-1.6455429321687278
2.319,-1.728616812174764
2.32,-1.717587633495964
2.321,-1.7401203806426346
2.322,-1.733752993041124
2.323,-1.7397133309887902
2.324,-1.7842879166080405
2.325,-1.7999645804855184
2.326,-1.814497011317846
2.327,-1.8268010088565931
2.328,-1.8877229946748606
2.329,-1.8709881929962366
2.33,-1.9099202334471745
2.331,-1.9285969511323668
2.332,-1.9501733296840587
2.333,-1.9928842181814281
2.334,-2.017064769732603
2.335,-2.0534484436124347
2.336,-2.089399648792872
2.337,-2.1176424074903104
2.338,-2.1547175754912082
2.339,-2.204706404880982
2.34,-2.1918650271746896
2.341,-2.256589610631121
2.342,-2.266133684817259
2.343,-2.3022657116756986
2.344,-2.341384029429707
2.345,-2.358082252487878
2.346,-2.4130877960006885
2.347,-2.443930794623842
2.348,-2.487302701361693
2.349,-2.515428094064374
2.35,-2.540256881273292
2.351,-2.5784477659918785
2.352,-2.6073824336436053
2.353,-2.6427147657579635
2.354,-2.7020494197124134
2.355,-2.701107478158508
2.356,-2.7416108686234697
2.357,-2.7781530424751417
2.358,-2.8220599724975495
2.359,-2.874961558381087
2.36,-2.858498956841575
2.361,-2.8762559708980504
2.362,-2.921145655123599
2.363,-2.954528026222581
2.364,-2.9754012784502795
