!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:34:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1180363636.3636,0.42689502,-92.777138,-131.35774,-30.593008,-242.61234
1181090909.0909,0.42037764,-87.682396,-23.888712,-30.106777,-242.58835
1181818181.8182,0.41734797,-91.600731,160.56065,-29.828993,-242.36009
1182545454.5455,0.41206416,-89.092056,175.04305,-29.424179,-242.28885
1183272727.2727,0.40839684,-92.448372,-150.63222,-29.108875,-242.09048
1184000000,0.40498829,-91.724754,165.13399,-28.846693,-242.03503
1184727272.7273,0.40276736,-91.126572,140.78726,-28.658989,-241.9247
1185454545.4545,0.39956594,-88.147102,115.01145,-28.415319,-241.88063
1186181818.1818,0.39842606,-88.970596,-122.40092,-28.309578,-241.7812
1186909090.9091,0.39168426,-88.656555,106.3518,-27.791237,-241.65793
1187636363.6364,0.38686097,-104.96394,-75.761459,-27.443081,-241.66803
1188363636.3636,0.38592756,-101.40801,49.227257,-27.321974,-241.42545
1189090909.0909,0.38037094,-93.691994,-134.27321,-26.892298,-241.29951
1189818181.8182,0.37952286,-83.073952,-95.040459,-26.812473,-241.21378
1190545454.5455,0.37711251,-97.717804,-139.5676,-26.614353,-241.10167
1191272727.2727,0.36846089,-90.109047,-162.01347,-25.927166,-240.798
1192000000,0.36550742,-98.481644,-161.51706,-25.736847,-240.90361
1192727272.7273,0.36602539,-91.846329,-107.36691,-25.729937,-240.69066
1193454545.4545,0.36357549,-95.285431,147.26807,-25.4711,-240.28676
1194181818.1818,0.35688511,-96.366409,78.94548,-25.053362,-240.58604
1194909090.9091,0.35604542,-99.758263,56.163074,-24.9883,-240.56146
1195636363.6364,0.35296169,-104.7893,-14.132868,-24.643648,-239.93878
1196363636.3636,0.34884325,-91.471992,140.30983,-24.381207,-240.09425
1197090909.0909,0.34536928,-98.413872,161.94383,-24.055704,-239.69205
1197818181.8182,0.34195507,-91.198486,-24.12463,-23.742918,-239.32411
1198545454.5455,0.34251893,-92.7966,-175.54588,-23.766758,-239.24081
1199272727.2727,0.33747095,-101.02257,127.16245,-23.40431,-239.20911
1200000000,0.33455878,-96.022247,-36.628086,-23.112488,-238.74805
1200727272.7273,0.32522359,-88.681274,-154.29779,-22.441263,-238.66138
1201454545.4545,0.32799634,-89.875893,-125.99819,-22.676901,-238.88597
1202181818.1818,0.31704119,-90.262291,-153.43741,-21.910147,-238.90002
1202909090.9091,0.31612882,-100.80141,135.2764,-21.824574,-238.77797
1203636363.6364,0.30899706,-90.819061,-108.51016,-21.380722,-239.10103
1204363636.3636,0.30966336,-89.747574,-162.80377,-21.416306,-239.03632
1205090909.0909,0.30297571,-91.11937,136.11168,-20.942991,-239.01122
1205818181.8182,0.29831678,-92.184158,153.96567,-20.549633,-238.60896
1206545454.5455,0.29946062,-97.351891,90.48703,-20.631378,-238.62021
1207272727.2727,0.29546079,-90.1548,40.521027,-20.362219,-238.6815
1208000000,0.2903209,-92.408882,-18.709827,-20.002874,-238.67815
1208727272.7273,0.29131114,-93.910286,-33.326263,-20.051973,-238.55476
1209454545.4545,0.28958246,-97.27684,-149.06273,-19.912477,-238.43692
1210181818.1818,0.28513232,-120.07306,2.736866,-19.588373,-238.34665
1210909090.9091,0.28211975,-94.360237,-112.84307,-19.383698,-238.37721
1211636363.6364,0.28030008,-94.088417,175.92586,-19.240194,-238.2681
1212363636.3636,0.28104278,-103.4473,25.818176,-19.277807,-238.17854
1213090909.0909,0.27762306,-87.621361,150.71437,-19.020922,-238.05153
1213818181.8182,0.27897403,-89.417358,112.2707,-19.098406,-237.94708
1214545454.5455,0.27780184,-85.707932,116.90407,-18.977987,-237.69218
1215272727.2727,0.27180943,-88.957848,131.10904,-18.535738,-237.50412
1216000000,0.26768371,-93.673561,131.6339,-18.263062,-237.58325
1216727272.7273,0.26291162,-91.894447,89.646484,-17.899294,-237.34386
1217454545.4545,0.26209378,-88.619957,-35.613647,-17.800158,-237.04741
1218181818.1818,0.2582663,-98.738091,-160.29086,-17.461985,-236.51576
1218909090.9091,0.25163367,-91.79155,23.724823,-17.032166,-236.68118
1219636363.6364,0.24736126,-106.95194,-162.79163,-16.71924,-236.52608
1220363636.3636,0.24504063,-91.275574,-7.6869426,-16.584347,-236.69949
1221090909.0909,0.24460186,-87.908661,-128.15578,-16.522076,-236.45918
1221818181.8182,0.23836704,-88.027695,-117.06689,-16.077909,-236.31067
1222545454.5455,0.23424283,-85.955963,-135.80942,-15.769456,-236.09268
1223272727.2727,0.22776188,-103.48121,-73.890709,-15.35016,-236.25603
1224000000,0.22409925,-88.099113,157.99149,-15.09152,-236.17502
1224727272.7273,0.22133134,-90.640724,84.18074,-14.848742,-235.72078
1225454545.4545,0.21665822,-100.29646,-169.04936,-14.563116,-235.9745
1226181818.1818,0.21029362,-96.283401,-177.05576,-14.108941,-235.76973
1226909090.9091,0.21125038,-92.209114,-171.78084,-14.152269,-235.58536
1227636363.6364,0.20888485,-92.54216,39.392937,-14.006166,-235.70268
1228363636.3636,0.20396897,-97.509232,29.722322,-13.691409,-235.85431
1229090909.0909,0.20302506,-94.860977,-72.254112,-13.626212,-235.84123
1229818181.8182,0.1990533,-97.757378,-63.849068,-13.30058,-235.31186
1230545454.5455,0.196426,-88.974686,-48.67485,-13.136662,-235.42981
1231272727.2727,0.19857706,-100.82391,-173.98506,-13.239791,-235.04575
1232000000,0.19116493,-100.73548,-15.497962,-12.74803,-235.09483
1232727272.7273,0.18675388,-101.75396,-148.87793,-12.439751,-234.97069
1233454545.4545,0.18177046,-92.040329,-137.34615,-12.072338,-234.62791
1234181818.1818,0.18441753,-96.158005,-32.784306,-12.262875,-234.76643
1234909090.9091,0.17645235,-93.952385,99.544411,-11.71414,-234.59268
1235636363.6364,0.18042378,-97.781204,69.908516,-11.973706,-234.53836
1236363636.3636,0.17793798,-90.74691,48.385128,-11.786777,-234.31871
1237090909.0909,0.17526828,-90.305977,62.220188,-11.610083,-234.32863
1237818181.8182,0.17158762,-88.09832,125.2803,-11.38142,-234.50275
1238545454.5455,0.16653977,-90.258553,47.875511,-11.012053,-234.13493
1239272727.2727,0.1600014,-90.302032,-84.193741,-10.55627,-233.88283
1240000000,0.15850182,-94.855736,-124.69162,-10.491338,-234.28352
1240727272.7273,0.15702543,-94.337601,-7.6209893,-10.369917,-234.00876
1241454545.4545,0.1587048,-90.627899,-100.37508,-10.466831,-233.84103
1242181818.1818,0.15213129,-98.078636,-86.630226,-10.016714,-233.6571
1242909090.9091,0.14966588,-102.39601,91.187279,-9.8578005,-233.7059
1243636363.6364,0.14714859,-90.043709,-156.4984,-9.677846,-233.53415
1244363636.3636,0.14154398,-88.989059,-119.9368,-9.3013802,-233.44536
1245090909.0909,0.14526545,-88.210678,139.26105,-9.5592871,-233.60654
1245818181.8182,0.14903855,-92.095955,174.7294,-9.777894,-233.22745
1246545454.5455,0.14423275,-107.8181,-158.63403,-9.4462414,-233.02901
1247272727.2727,0.1418786,-94.994484,-50.320156,-9.2823,-232.90698
1248000000,0.13697958,-88.126122,49.336525,-8.9602728,-232.89825
1248727272.7273,0.13405196,-89.527077,-42.517933,-8.7330761,-232.40942
1249454545.4545,0.13034798,-89.002548,-48.733692,-8.478344,-232.22575
1250181818.1818,0.13343334,-89.128632,-17.5212,-8.6734619,-232.1409
1250909090.9091,0.12439808,-93.054359,-97.073174,-8.0701408,-231.92058
1251636363.6364,0.125522,-89.338211,-84.383072,-8.1373291,-231.83292
1252363636.3636,0.12074476,-95.774399,-75.501732,-7.8140297,-231.63231
1253090909.0909,0.11748323,-98.078705,-46.292061,-7.5891829,-231.41942
1253818181.8182,0.11686813,-87.907257,152.65933,-7.5351262,-231.19101
1254545454.5455,0.11223689,-90.848404,117.64732,-7.2231822,-230.97694
1255272727.2727,0.11208197,-85.47599,69.127701,-7.2071328,-230.87543
