!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:21:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1163636363.6364,0.45340905,-92.305473,123.6637,-32.371094,-241.91167
1164363636.3636,0.45193329,-92.464546,153.46558,-32.164188,-241.53447
1165090909.0909,0.44920129,-97.571442,114.29361,-31.84185,-241.0629
1165818181.8182,0.44401044,-94.068031,77.349594,-31.423491,-240.91046
1166545454.5455,0.4368968,-102.42279,118.19971,-30.868652,-240.76639
1167272727.2727,0.4326764,-100.17612,-61.376045,-30.482367,-240.44574
1168000000,0.42826521,-93.368767,77.901474,-30.194277,-240.57567
1168727272.7273,0.42443004,-90.21563,112.66762,-29.823118,-240.19089
1169454545.4545,0.41535023,-87.356194,-146.82268,-29.136499,-240.05907
1170181818.1818,0.40963811,-96.844566,-98.859406,-28.726542,-240.06491
1170909090.9091,0.41150627,-93.66674,128.84071,-28.819073,-239.88533
1171636363.6364,0.40581545,-94.051537,135.50632,-28.370136,-239.71121
1172363636.3636,0.40209618,-87.144897,176.90588,-28.106701,-239.72514
1173090909.0909,0.3994149,-91.782928,-121.84825,-27.871918,-239.53629
1173818181.8182,0.39469567,-87.035255,144.79948,-27.498186,-239.37315
1174545454.5455,0.38795662,-88.04351,113.02705,-27.042904,-239.48863
1175272727.2727,0.38317809,-92.416389,-154.61821,-26.614376,-239.08229
1176000000,0.38330409,-90.764313,72.154846,-26.617809,-239.05673
1176727272.7273,0.37685654,-93.920525,106.24417,-26.093637,-238.74287
1177454545.4545,0.37574899,-95.746864,29.592857,-26.023548,-238.78204
1178181818.1818,0.37208968,-98.060272,-77.97718,-25.749359,-238.70871
1178909090.9091,0.36677474,-96.398781,-131.49626,-25.330145,-238.49614
1179636363.6364,0.35978785,-92.217361,-125.27652,-24.790237,-238.25931
1180363636.3636,0.35529926,-87.960457,-133.49638,-24.470415,-238.2365
1181090909.0909,0.35105231,-88.660431,-154.7198,-24.156834,-238.15724
1181818181.8182,0.34797779,-88.886452,-170.24088,-23.931198,-238.10509
1182545454.5455,0.34180355,-86.413597,173.7867,-23.450949,-237.85333
1183272727.2727,0.33590725,-90.435852,119.26241,-23.025566,-237.77936
1184000000,0.33145472,-84.362404,141.97157,-22.683296,-237.60619
1184727272.7273,0.3300491,-84.623451,-152.59387,-22.574684,-237.54723
1185454545.4545,0.32857788,-97.685997,-53.014286,-22.437954,-237.3586
1186181818.1818,0.32636794,-89.832466,-178.40598,-22.286793,-237.37064
1186909090.9091,0.32143453,-93.007072,74.251839,-21.921522,-237.24124
1187636363.6364,0.3156651,-95.454384,159.09018,-21.503431,-237.1346
1188363636.3636,0.31389311,-84.76059,-37.198051,-21.358944,-237.00824
1189090909.0909,0.30776453,-92.204384,-144.82559,-20.928297,-236.96339
1189818181.8182,0.30958644,-88.191986,-154.158,-21.036213,-236.85982
1190545454.5455,0.30465895,-90.972481,-132.32631,-20.655321,-236.61414
1191272727.2727,0.29845265,-91.522659,-94.800697,-20.20282,-236.45592
1192000000,0.29380468,-90.507492,53.086647,-19.886618,-236.47137
1192727272.7273,0.29183012,-86.327126,160.82227,-19.716545,-236.2556
1193454545.4545,0.28978845,-88.480362,154.01994,-19.535791,-235.99811
1194181818.1818,0.2869435,-123.22428,174.84319,-19.366009,-236.15236
1194909090.9091,0.28383216,-85.543594,109.77374,-19.112701,-235.89108
1195636363.6364,0.27882582,-88.234154,130.07198,-18.72826,-235.6076
1196363636.3636,0.27463248,-106.85768,55.462837,-18.42695,-235.49812
1197090909.0909,0.27693319,-95.966972,-50.014526,-18.51,-235.01672
1197818181.8182,0.27368107,-105.2274,-150.20689,-18.270977,-234.88817
1198545454.5455,0.269932,-97.648628,5.6981812,-17.957668,-234.47905
1199272727.2727,0.26709196,-89.256149,-70.459267,-17.783278,-234.59239
1200000000,0.2604838,-93.995201,-67.448494,-17.29307,-234.26984
1200727272.7273,0.25634888,-103.70377,143.47523,-17.018888,-234.29112
1201454545.4545,0.25283948,-93.687523,-114.06654,-16.810045,-234.48224
1202181818.1818,0.24895461,-94.32354,172.87067,-16.517796,-234.24907
1202909090.9091,0.241548,-103.6452,10.202188,-16.057362,-234.51686
1203636363.6364,0.2394788,-88.823303,172.5625,-15.919384,-234.52243
1204363636.3636,0.23628137,-94.350182,4.5682063,-15.719742,-234.63623
1205090909.0909,0.23003411,-93.444633,139.68816,-15.257957,-234.2934
1205818181.8182,0.22817136,-94.244637,176.06659,-15.106537,-234.07622
1206545454.5455,0.22531527,-92.243866,147.59804,-14.911306,-234.03748
1207272727.2727,0.220359,-97.734253,103.94698,-14.582605,-234.0511
1208000000,0.21747908,-87.979637,36.261707,-14.385329,-234.00555
1208727272.7273,0.2173921,-101.23813,21.671144,-14.384424,-234.04697
1209454545.4545,0.21746799,-90.313255,-102.0397,-14.372237,-233.90083
1210181818.1818,0.21041612,-93.830711,-50.432159,-13.87749,-233.67567
1210909090.9091,0.20930155,-98.067223,-166.10329,-13.818179,-233.80499
1211636363.6364,0.20419285,-95.555748,-162.88521,-13.473439,-233.75609
1212363636.3636,0.20371179,-85.89994,-158.66269,-13.407174,-233.44464
1213090909.0909,0.20377098,-93.340942,-84.956726,-13.417459,-233.50241
1213818181.8182,0.1986444,-95.954056,162.07018,-13.048196,-233.2252
