Freq(Hz),s21 unwrapped phase(Deg)
2827000000.0,-349.4955
2828000000.0,-349.9398
2829000000.0,-350.5607
2830000000.0,-350.4111
2831000000.0,-350.7272
2832000000.0,-350.7545
2833000000.0,-350.7628
2834000000.0,-350.5945
2835000000.0,-350.2116
2836000000.0,-349.9274
2837000000.0,-349.5155
2838000000.0,-349.0912
2839000000.0,-348.4695
2840000000.0,-347.8736
2841000000.0,-347.2094
2842000000.0,-346.6923
2843000000.0,-346.3921
2844000000.0,-345.7804
2845000000.0,-345.311
2846000000.0,-344.9237
2847000000.0,-344.7131
2848000000.0,-344.4871
2849000000.0,-344.4658
2850000000.0,-344.4869
2851000000.0,-344.5016
2852000000.0,-344.824
2853000000.0,-344.9513
2854000000.0,-345.4649
2855000000.0,-345.8297
2856000000.0,-346.5334
2857000000.0,-347.0697
2858000000.0,-347.9877
2859000000.0,-348.6068
2860000000.0,-349.721
2861000000.0,-350.5607
2862000000.0,-351.6125
2863000000.0,-352.6655
2864000000.0,-353.6315
2865000000.0,-354.5517
2866000000.0,-355.5159
2867000000.0,-356.3797
2868000000.0,-357.0088
2869000000.0,-357.8201
2870000000.0,-358.5164
2871000000.0,-358.9973
2872000000.0,-359.5065
2873000000.0,-359.9458
2874000000.0,-360.0433
2875000000.0,-360.2207
2876000000.0,-360.1744
2877000000.0,-360.2397
2878000000.0,-359.9819
2879000000.0,-359.7174
2880000000.0,-359.5371
2881000000.0,-358.992
2882000000.0,-358.6333
2883000000.0,-357.9857
2884000000.0,-357.3893
2885000000.0,-357.0948
2886000000.0,-356.484
2887000000.0,-355.9332
2888000000.0,-355.5634
2889000000.0,-355.265
2890000000.0,-355.0108
2891000000.0,-354.9303
2892000000.0,-354.6494
2893000000.0,-354.6113
2894000000.0,-354.5434
2895000000.0,-354.7647
2896000000.0,-354.9619
2897000000.0,-355.2874
2898000000.0,-355.7009
2899000000.0,-356.2068
2900000000.0,-356.9818
2901000000.0,-357.659
2902000000.0,-358.2864
2903000000.0,-359.2449
2904000000.0,-360.0107
2905000000.0,-360.981
2906000000.0,-362.0621
2907000000.0,-362.8661
2908000000.0,-363.9838
2909000000.0,-364.7042
2910000000.0,-365.498
2911000000.0,-366.2688
2912000000.0,-366.9064
2913000000.0,-367.6919
2914000000.0,-368.0449
2915000000.0,-368.577
2916000000.0,-368.9769
2917000000.0,-369.4095
2918000000.0,-369.4075
2919000000.0,-369.4661
2920000000.0,-369.3737
2921000000.0,-369.2601
2922000000.0,-368.8159
2923000000.0,-368.6906
2924000000.0,-368.0786
2925000000.0,-368.1914
2926000000.0,-367.4993
2927000000.0,-366.8423
2928000000.0,-366.3854
2929000000.0,-365.8247
2930000000.0,-365.5601
2931000000.0,-364.9856
2932000000.0,-364.5883
2933000000.0,-364.5273
2934000000.0,-364.199
2935000000.0,-364.134
2936000000.0,-364.3249
2937000000.0,-364.0593
2938000000.0,-364.2906
2939000000.0,-364.6349
2940000000.0,-365.0311
2941000000.0,-365.19
2942000000.0,-365.8953
2943000000.0,-366.3623
2944000000.0,-366.9431
2945000000.0,-367.9356
2946000000.0,-368.765
2947000000.0,-369.7594
2948000000.0,-370.5043
2949000000.0,-371.503
2950000000.0,-372.3823
2951000000.0,-373.4066
2952000000.0,-374.0933
2953000000.0,-375.0339
2954000000.0,-375.7085
2955000000.0,-376.4944
2956000000.0,-377.2357
2957000000.0,-377.4113
2958000000.0,-377.9892
2959000000.0,-378.2879
2960000000.0,-378.5887
2961000000.0,-378.7757
2962000000.0,-378.4977
2963000000.0,-378.5807
2964000000.0,-378.192
2965000000.0,-377.9719
2966000000.0,-377.6732
2967000000.0,-377.3094
2968000000.0,-376.8401
2969000000.0,-376.3714
2970000000.0,-375.6531
2971000000.0,-375.2727
2972000000.0,-374.577
2973000000.0,-374.4203
2974000000.0,-373.9275
2975000000.0,-373.7616
2976000000.0,-373.4322
2977000000.0,-373.0739
2978000000.0,-373.1085
2979000000.0,-372.9891
2980000000.0,-373.0335
2981000000.0,-373.2567
2982000000.0,-373.4988
2983000000.0,-373.8647
2984000000.0,-374.5549
2985000000.0,-375.0419
2986000000.0,-375.5472
2987000000.0,-376.5035
2988000000.0,-377.0679
2989000000.0,-378.1297
2990000000.0,-379.0734
2991000000.0,-379.8475
2992000000.0,-380.8686
2993000000.0,-381.9335
2994000000.0,-382.6887
2995000000.0,-383.7541
2996000000.0,-384.5622
2997000000.0,-385.3944
2998000000.0,-386.151
2999000000.0,-386.8253
3000000000.0,-387.2946
3001000000.0,-387.5277
3002000000.0,-387.8745
3003000000.0,-388.3405
3004000000.0,-388.3206
3005000000.0,-388.3878
3006000000.0,-388.2598
3007000000.0,-387.9975
3008000000.0,-387.6311
3009000000.0,-387.3098
3010000000.0,-386.7431
3011000000.0,-386.1548
3012000000.0,-385.8873
3013000000.0,-384.9651
3014000000.0,-384.641
3015000000.0,-384.2046
3016000000.0,-383.7233
3017000000.0,-382.9241
3018000000.0,-382.8184
3019000000.0,-382.4159
