!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:28:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1131636363.6364,-43.716148,0.1929964,-36.97855,50.458492,-0.46765339
1132363636.3636,-43.722118,0.18625121,-37.051212,50.413258,-0.50710863
1133090909.0909,-43.814327,0.18897648,-37.062378,50.40633,-0.50377494
1133818181.8182,-43.939716,0.18773974,-37.113358,50.383041,-0.50995988
1134545454.5455,-43.558781,0.18559206,-37.181633,50.375809,-0.55025399
1135272727.2727,-43.97863,0.18377198,-37.21241,50.378967,-0.50941771
1136000000,-44.371765,0.18077512,-37.244362,50.34436,-0.49939594
1136727272.7273,-44.698124,0.17833892,-37.292171,50.336189,-0.47776484
1137454545.4545,-44.626476,0.17908132,-37.314362,50.299061,-0.50721478
1138181818.1818,-43.853828,0.17062855,-37.355434,50.348515,-0.54144162
1138909090.9091,-43.920639,0.16957553,-37.36401,50.351089,-0.53389758
1139636363.6364,-44.436127,0.16976598,-37.40255,50.278545,-0.53338867
1140363636.3636,-44.214764,0.16539298,-37.436626,50.312252,-0.53271151
1141090909.0909,-44.735672,0.16431588,-37.463814,50.267189,-0.51622468
1141818181.8182,-44.410698,0.16007611,-37.500938,50.252308,-0.54805595
1142545454.5455,-44.167976,0.1611467,-37.527054,50.238781,-0.57256448
1143272727.2727,-44.514824,0.15432446,-37.535107,50.224304,-0.55217087
1144000000,-44.696404,0.15444341,-37.54488,50.256573,-0.52445072
1144727272.7273,-44.64468,0.14993913,-37.610008,50.193222,-0.55424929
1145454545.4545,-44.354244,0.15005513,-37.617638,50.23296,-0.56069332
1146181818.1818,-44.450653,0.14696142,-37.642059,50.186817,-0.57036889
1146909090.9091,-44.210186,0.1451268,-37.6595,50.19912,-0.5841015
1147636363.6364,-44.172459,0.14348139,-37.695457,50.151814,-0.60061377
1148363636.3636,-44.570557,0.14180192,-37.713734,50.121105,-0.57904005
1149090909.0909,-44.721439,0.13874312,-37.727684,50.131512,-0.56637263
1149818181.8182,-44.66803,0.13668241,-37.760792,50.101894,-0.57591015
1150545454.5455,-44.391426,0.13649799,-37.781948,50.106483,-0.5943439
1151272727.2727,-44.831383,0.13587181,-37.815777,50.082813,-0.56784087
1152000000,-44.762028,0.13629569,-37.85162,50.071423,-0.57395613
1152727272.7273,-44.997036,0.13521166,-37.897209,50.05592,-0.56007183
1153454545.4545,-45.293987,0.13431554,-37.914307,50.061493,-0.54048139
1154181818.1818,-45.083881,0.13009301,-37.95071,49.988289,-0.55675709
1154909090.9091,-44.902737,0.13052636,-37.979424,50.001122,-0.56868827
1155636363.6364,-45.274918,0.12886296,-38.004128,49.969765,-0.54382497
1156363636.3636,-45.702385,0.12464377,-38.021454,49.978439,-0.51810431
1157090909.0909,-45.130779,0.12553738,-38.072689,50.029404,-0.55332851
1157818181.8182,-45.283779,0.11791562,-38.098469,50.006664,-0.54426926
1158545454.5455,-45.542946,0.11869727,-38.117111,49.99231,-0.52817678
1159272727.2727,-45.597157,0.11786655,-38.111126,49.984463,-0.52467471
1160000000,-46.26601,0.11610834,-38.188732,49.986481,-0.48582283
1160727272.7273,-45.859241,0.11374364,-38.157742,49.963348,-0.50787449
1161454545.4545,-45.484718,0.11274622,-38.204594,49.934917,-0.5274806
1162181818.1818,-45.619106,0.11387609,-38.231899,49.961937,-0.52207631
1162909090.9091,-45.749725,0.11424861,-38.26519,49.943897,-0.51249409
1163636363.6364,-45.928211,0.11200326,-38.276806,49.905174,-0.49588862
1164363636.3636,-45.494709,0.11306269,-38.30344,49.917835,-0.52438045
1165090909.0909,-45.563683,0.10901383,-38.330875,49.92614,-0.52141958
1165818181.8182,-45.646431,0.11082897,-38.381207,49.938599,-0.51806992
1166545454.5455,-47.000965,0.10746243,-38.40572,49.938938,-0.44216937
1167272727.2727,-45.662865,0.10702077,-38.442513,49.939011,-0.51712775
1168000000,-46.519306,0.099055581,-38.473301,49.878735,-0.45567393
1168727272.7273,-46.278782,0.10329681,-38.489105,49.929272,-0.47983342
1169454545.4545,-46.797012,0.097424157,-38.541702,49.920471,-0.4499115
1170181818.1818,-47.132671,0.096452244,-38.557171,49.906288,-0.42939758
1170909090.9091,-46.701855,0.094307117,-38.607883,49.948605,-0.45918226
1171636363.6364,-47.155487,0.093284093,-38.61977,49.959564,-0.43671736
1172363636.3636,-46.322834,0.092187725,-38.656994,49.964207,-0.48140517
1173090909.0909,-46.381481,0.090205118,-38.679649,49.963238,-0.47806966
1173818181.8182,-46.034992,0.091814749,-38.708405,49.967907,-0.49798498
1174545454.5455,-46.256878,0.086185344,-38.717903,49.984035,-0.48624814
1175272727.2727,-46.22443,0.081434801,-38.755329,49.956512,-0.48625553
1176000000,-46.525562,0.079131283,-38.78318,49.981972,-0.47133648
1176727272.7273,-45.905167,0.079163238,-38.799721,49.948418,-0.50380063
1177454545.4545,-45.973564,0.074999042,-38.827938,49.981911,-0.50230461
1178181818.1818,-46.391945,0.071928248,-38.830311,49.975044,-0.47830963
1178909090.9091,-45.597752,0.073766187,-38.885509,49.947079,-0.52199644
1179636363.6364,-45.505131,0.065536909,-38.907925,49.923618,-0.52464175
1180363636.3636,-45.85524,0.063813776,-38.921524,49.911469,-0.50140971
1181090909.0909,-45.300873,0.062666759,-38.950123,49.901077,-0.53357345
1181818181.8182,-45.142323,0.06215746,-38.967152,49.937874,-0.5493651
1182545454.5455,-45.879601,0.05520393,-38.979683,49.908283,-0.49937043
1183272727.2727,-45.796051,0.058539473,-39.017338,49.894482,-0.50157994
1184000000,-45.679462,0.053339556,-39.060627,49.92878,-0.51476175
1184727272.7273,-45.79987,0.047897615,-39.060066,49.91716,-0.50571126
1185454545.4545,-45.708481,0.052488662,-39.087547,49.897934,-0.50761151
1186181818.1818,-45.49398,0.050835345,-39.118954,49.921246,-0.52496672
1186909090.9091,-45.530476,0.046341702,-39.139473,49.93082,-0.52412039
1187636363.6364,-45.463482,0.041482616,-39.146626,49.912193,-0.52537352
1188363636.3636,-46.653858,0.042585526,-39.160507,49.932129,-0.45954868
1189090909.0909,-45.478664,0.039797381,-39.197071,49.895523,-0.52127439
1189818181.8182,-45.344086,0.036778621,-39.22002,49.875774,-0.52534884
1190545454.5455,-45.996162,0.037899755,-39.253876,49.951099,-0.49877819
1191272727.2727,-45.842972,0.033029847,-39.281769,49.923805,-0.5042237
1192000000,-45.503902,0.032650229,-39.291355,49.934082,-0.52619034
1192727272.7273,-45.858658,0.027387114,-39.301723,49.989288,-0.50924915
1193454545.4545,-45.799908,0.029715922,-39.322758,49.92614,-0.50714499
1194181818.1818,-45.217209,0.026166832,-39.348305,49.930923,-0.54371238
1194909090.9091,-45.115326,0.023542769,-39.364235,49.905651,-0.54632205
1195636363.6364,-45.239639,0.023196055,-39.391842,49.895458,-0.5363819
1196363636.3636,-45.182755,0.019459993,-39.393169,49.86821,-0.53388923
1197090909.0909,-45.442799,0.016946401,-39.408005,49.866421,-0.51669776
1197818181.8182,-45.844425,0.016801128,-39.458057,49.924545,-0.50425214
1198545454.5455,-45.417347,0.016766487,-39.477119,49.933033,-0.53140575
1199272727.2727,-45.340794,0.015324006,-39.485523,49.913292,-0.53323984
1200000000,-44.915348,0.017975833,-39.502346,49.896305,-0.55771089
1200727272.7273,-45.144096,0.010005297,-39.546947,49.883163,-0.53995544
1201454545.4545,-45.357365,0.015157645,-39.547863,49.872723,-0.52375156
1202181818.1818,-45.316872,0.0098576061,-39.594418,49.923836,-0.53641051
1202909090.9091,-44.907364,0.0088611236,-39.613392,49.830933,-0.54164541
1203636363.6364,-45.595463,0.0050204,-39.613609,49.899044,-0.51475215
1204363636.3636,-45.600113,0.0034934795,-39.636665,49.870979,-0.50800228
1205090909.0909,-45.415276,0.00028776636,-39.66275,49.881844,-0.52226305
1205818181.8182,-45.430805,-0.00086433714,-39.693825,49.879013,-0.52061808
1206545454.5455,-44.593658,-0.0013337901,-39.705715,49.801243,-0.55350786
1207272727.2727,-44.670208,-0.00069870829,-39.716137,49.833527,-0.55887306
1208000000,-45.112206,-0.0068877265,-39.734535,49.825523,-0.5259794
1208727272.7273,-44.646801,-0.010193808,-39.757267,49.823227,-0.557289
1209454545.4545,-45.075558,-0.0080041103,-39.775997,49.81839,-0.52599746
1210181818.1818,-44.274448,-0.011044785,-39.762215,49.791111,-0.57319075
1210909090.9091,-45.162167,-0.015800269,-39.765739,49.791683,-0.50988281
1211636363.6364,-44.716034,-0.015822677,-39.779839,49.784096,-0.53808397
1212363636.3636,-44.923054,-0.014886718,-39.805569,49.741364,-0.50332302
1213090909.0909,-44.726257,-0.016787345,-39.823799,49.747677,-0.52100539
1213818181.8182,-45.029819,-0.016235571,-39.847366,49.713211,-0.47960904
1214545454.5455,-44.857773,-0.016868193,-39.855827,49.740868,-0.50786191
1215272727.2727,-44.786583,-0.01829198,-39.890213,49.699314,-0.48964852
1216000000,-44.857803,-0.021247393,-39.899075,49.670898,-0.46508369
1216727272.7273,-46.269341,-0.02729173,-39.955692,49.739399,-0.40859208
1217454545.4545,-45.836273,-0.023227822,-39.964211,49.727451,-0.43028128
1218181818.1818,-46.487301,-0.022386301,-40.017342,49.735596,-0.39170906
1218909090.9091,-46.076984,-0.026266994,-40.027138,49.714558,-0.40484065
1219636363.6364,-46.402607,-0.026679922,-40.044136,49.744717,-0.40325785
1220363636.3636,-46.338459,-0.029815981,-40.058342,49.725548,-0.39466694
1221090909.0909,-46.848175,-0.031091845,-40.071533,49.762276,-0.3861779
1221818181.8182,-46.79155,-0.03249063,-40.123344,49.741985,-0.37641466
1222545454.5455,-47.149384,-0.036522038,-40.121262,49.743015,-0.35461494
1223272727.2727,-46.82539,-0.035975717,-40.124691,49.746471,-0.37733883
1224000000,-46.587315,-0.038213309,-40.147408,49.742805,-0.39005479
1224727272.7273,-47.17313,-0.04529608,-40.156822,49.784504,-0.38008928
1225454545.4545,-47.065727,-0.044188432,-40.157585,49.75692,-0.36944613
1226181818.1818,-46.853806,-0.047545373,-40.182617,49.742981,-0.37315452
1226909090.9091,-46.409481,-0.048671938,-40.191406,49.731934,-0.39434233
1227636363.6364,-46.188042,-0.048626266,-40.202236,49.73914,-0.4138189
1228363636.3636,-46.440147,-0.049838975,-40.204075,49.73299,-0.39303693
1229090909.0909,-46.000401,-0.05193552,-40.209557,49.696709,-0.39706832
1229818181.8182,-46.116261,-0.048470359,-40.243286,49.69397,-0.38653338
1230545454.5455,-45.666367,-0.049097158,-40.248291,49.670326,-0.40097412
1231272727.2727,-46.412205,-0.045015529,-40.244946,49.672527,-0.34599534
1232000000,-46.084446,-0.05249653,-40.264122,49.680153,-0.37746322
1232727272.7273,-45.877266,-0.051483095,-40.29475,49.652252,-0.36833373
1233454545.4545,-46.405952,-0.048138462,-40.32217,49.650665,-0.32426509
1234181818.1818,-46.548019,-0.050527174,-40.320396,49.632759,-0.2914176
1234909090.9091,-45.372894,-0.048346013,-40.358967,49.587048,-0.34247565
1235636363.6364,-46.238297,-0.052800216,-40.376923,49.599941,-0.275374
1236363636.3636,-46.818886,-0.045743268,-40.390934,49.610474,-0.23383754
1237090909.0909,-46.845638,-0.047757313,-40.416916,49.631031,-0.26284111
1237818181.8182,-46.891747,-0.055011123,-40.442863,49.624996,-0.24981175
1238545454.5455,-46.639427,-0.050783068,-40.490097,49.613209,-0.25596869
1239272727.2727,-47.0737,-0.054161925,-40.479313,49.635662,-0.24899733
1240000000,-46.841328,-0.056007519,-40.524281,49.624443,-0.25368649
1240727272.7273,-46.725769,-0.056535095,-40.516983,49.607838,-0.23891014
1241454545.4545,-46.649513,-0.053006843,-40.528656,49.599262,-0.23232888
1242181818.1818,-47.114529,-0.059078995,-40.544998,49.61607,-0.21317647
1242909090.9091,-46.683777,-0.060146857,-40.548698,49.5798,-0.19033462
