Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
0.071,,,,,,,,,,,,,,,,-0.002422071,-0.00206314,-0.00376876,-0.002271112,-0.001825351,-0.003334154,-0.004238636,-0.003690109,-0.004234293,-0.005244758,-0.006214016,-0.005903439,-0.007821602,-0.008386637,-0.012610135
0.072,,,,,,,,,,,,,,,,-0.002475831,-0.002116451,-0.003839512,-0.002324583,-0.001877595,-0.003398673,-0.004312132,-0.003760739,-0.004314718,-0.005336516,-0.006332441,-0.006031375,-0.007995276,-0.008592712,-0.0129537
0.073,,,,,,,,,,,,,,,,-0.002530254,-0.002170561,-0.003910961,-0.002378762,-0.001930743,-0.003463881,-0.004386255,-0.003832164,-0.004396077,-0.005429157,-0.00645224,-0.006161126,-0.008171466,-0.008802162,-0.013303563
0.074,,,,,,,,,,,,,,,,-0.002585206,-0.002225332,-0.003982972,-0.002433503,-0.001984653,-0.00352964,-0.004460862,-0.003904243,-0.004478229,-0.005522533,-0.006573271,-0.006292554,-0.008350052,-0.009014895,-0.013659734
0.075,,,,,,,,,,,,,,,,-0.002640561,-0.002280643,-0.004055419,-0.002488675,-0.002039199,-0.00359582,-0.004535823,-0.003976846,-0.004561041,-0.005616508,-0.006695401,-0.006425536,-0.008530928,-0.00923083,-0.014022246
0.076,,,,,,,,,,,,,,,,-0.002696209,-0.002336381,-0.004128189,-0.002544162,-0.002094265,-0.003662308,-0.004611019,-0.004049855,-0.004644396,-0.005710962,-0.006818511,-0.006559956,-0.008714,-0.009449903,-0.014391149
0.077,,,,,,,,,,,,,,,,-0.002752051,-0.002392448,-0.004201181,-0.002599858,-0.002149749,-0.003729,-0.004686344,-0.004123163,-0.004728185,-0.005805783,-0.006942495,-0.006695715,-0.008899189,-0.009672063,-0.014766518
0.078,,,,,,,,,,,,,,,,-0.002808001,-0.002448759,-0.004274308,-0.002655676,-0.002205561,-0.003795805,-0.004761705,-0.004196678,-0.004812314,-0.005900875,-0.007067256,-0.006832722,-0.009086432,-0.009897274,-0.015148453
0.079,,,,,,,,,,,,,,,,-0.002863986,-0.002505241,-0.004347494,-0.00271154,-0.002261626,-0.003862647,-0.004837021,-0.004270318,-0.004896701,-0.005996155,-0.007192715,-0.006970899,-0.00927568,-0.010125518,-0.015537074
0.08,,,,,,,,,,,,,,,,-0.002919947,-0.002561836,-0.004420679,-0.00276739,-0.002317882,-0.003929462,-0.004912228,-0.004344017,-0.004981276,-0.006091554,-0.007318802,-0.007110183,-0.009466898,-0.01035679,-0.015932525
